iter	Passed	Remaining
276	1768	4614
277	1772	4602
278	1776	4590
279	1780	4578
280	1784	4566
281	1788	4553
282	1792	4540
283	1795	4527
284	1799	4514
285	1803	4503
286	1807	4489
287	1810	4476
288	1817	4470
289	1821	4458
290	1824	4445
291	1828	4434
292	1832	4421
293	1841	4421
294	1847	4416
295	1852	4406
296	1857	4395
297	1861	4386
298	1872	4390
299	1880	4386
300	1892	4395
301	1903	4400
302	1919	4415
303	1931	4421
304	1949	4441
305	1970	4469
306	2005	4526
307	2024	4547
308	2046	4575
309	2054	4573
310	2070	4588
311	2079	4585
312	2092	4592
313	2104	4597
314	2115	4600
315	2119	4587
316	2126	4582
317	2132	4572
318	2138	4565
319	2142	4553
320	2148	4545
321	2154	4536
322	2158	4523
323	2163	4512
324	2166	4499
325	2171	4488
326	2174	4475
327	2179	4465
328	2183	4452
329	2186	4440
330	2190	4426
331	2194	4415
332	2198	4403
333	2203	4393
334	2207	4381
335	2211	4371
336	2216	4359
337	2219	4347
338	2223	4334
339	2227	4323
340	2231	4312
341	2235	4300
342	2238	4288
343	2246	4284
344	2250	4272
345	2254	4260
346	2258	4249
347	2261	4237
348	2265	4226
349	2269	4214
350	2273	4204
351	2277	4192
352	2281	4181
353	2284	4169
354	2288	4158
355	2292	4146
356	2296	4135
357	2300	4125
358	2304	4114
359	2308	4104
360	2312	4092
361	2315	4081
362	2319	4069
363	2323	4059
364	2327	4048
365	2330	4036
366	2333	4025
367	2339	4017
368	2344	4008
369	2348	3998
370	2351	3987
371	2355	3976
372	2359	3965
373	2363	3955
374	2366	3944
375	2370	3934
376	2374	3923
377	2377	3912
378	2381	3902
379	2385	3892
380	2389	3881
381	2393	3871
382	2396	3860
383	2400	3850
384	2403	3839
385	2408	3830
386	2411	3820
387	2415	3810
388	2419	3799
389	2423	3790
390	2426	3779
391	2430	3769
392	2434	3760
393	2440	3753
394	2443	3742
395	2446	3732
396	2451	3722
397	2454	3712
398	2458	3703
399	2462	3693
400	2470	3689
401	2474	3680
402	2477	3670
403	2482	3661
404	2485	3651
405	2489	3642
406	2493	3633
407	2498	3625
408	2501	3615
409	2505	3605
410	2509	3595
411	2513	3586
412	2516	3576
413	2520	3567
414	2524	3558
415	2527	3548
