,date,object_code,trips
363,2022-03-02,021Y,1757514
364,2022-03-03,021Y,1735345
365,2022-03-04,021Y,1689025
366,2022-03-05,021Y,1433981
367,2022-03-06,021Y,1762476
368,2022-03-07,021Y,2070775
369,2022-03-08,021Y,2026815
370,2022-03-09,021Y,1962552
371,2022-03-10,021Y,2011690
372,2022-03-11,021Y,1783009
373,2022-03-12,021Y,1281352
374,2022-03-13,021Y,1069473
375,2022-03-14,021Y,1197486
376,2022-03-15,021Y,1129067
377,2022-03-16,021Y,1069903
378,2022-03-17,021Y,969204
379,2022-03-18,021Y,1055490
380,2022-03-19,021Y,927379
381,2022-03-20,021Y,789517
382,2022-03-21,021Y,911466
383,2022-03-22,021Y,1048909
384,2021-11-14,022Y,621346
385,2021-11-15,022Y,503955
386,2021-11-16,022Y,453665
387,2021-11-17,022Y,381443
388,2021-11-18,022Y,279681
389,2021-11-19,022Y,350798
390,2021-11-20,022Y,560599
391,2021-11-21,022Y,312169
392,2021-11-22,022Y,359515
393,2021-11-23,022Y,387337
394,2021-11-24,022Y,412001
395,2021-11-25,022Y,407588
396,2021-11-26,022Y,403946
397,2021-11-28,022Y,300791
398,2021-11-29,022Y,330615
399,2021-11-30,022Y,384064
400,2021-12-01,022Y,426057
401,2021-12-02,022Y,400474
402,2021-12-03,022Y,407502
403,2021-12-04,022Y,363559
404,2021-12-05,022Y,257557
405,2021-12-06,022Y,369274
406,2021-12-07,022Y,391002
407,2021-12-08,022Y,395705
408,2021-12-09,022Y,394663
409,2021-12-10,022Y,318637
410,2021-12-11,022Y,393531
411,2021-12-12,022Y,333988
412,2021-12-13,022Y,484933
413,2021-12-14,022Y,541043
414,2021-12-15,022Y,540835
415,2021-12-16,022Y,437466
416,2021-12-17,022Y,476155
417,2021-12-18,022Y,388897
418,2021-12-19,022Y,318452
419,2021-12-20,022Y,371120
420,2021-12-21,022Y,390240
421,2021-12-22,022Y,412097
422,2021-12-23,022Y,412270
423,2021-12-24,022Y,389202
424,2021-12-25,022Y,411289
425,2021-12-26,022Y,340489
426,2021-12-27,022Y,388121
427,2021-12-28,022Y,423323
428,2021-12-29,022Y,433666
429,2021-12-30,022Y,441712
430,2021-12-31,022Y,424708
431,2022-01-01,022Y,365723
432,2022-01-02,022Y,285577
433,2022-01-03,022Y,276711
434,2022-01-04,022Y,344524
435,2022-01-05,022Y,408153
436,2022-01-06,022Y,453631
437,2022-01-07,022Y,439126
438,2022-01-08,022Y,300969
439,2022-01-09,022Y,255183
440,2022-01-10,022Y,77171
441,2022-01-11,022Y,380183
442,2022-01-12,022Y,51538
443,2022-01-13,022Y,261505
444,2022-01-14,022Y,343000
445,2022-01-15,022Y,205313
446,2022-01-16,022Y,200169
447,2022-01-17,022Y,194079
448,2022-01-18,022Y,245037
449,2022-01-19,022Y,287059
450,2022-01-20,022Y,311795
451,2022-01-21,022Y,371567
452,2022-01-22,022Y,339251
453,2022-01-23,022Y,345825
454,2022-01-24,022Y,386930
455,2022-01-25,022Y,399756
456,2022-01-26,022Y,412738
457,2022-01-27,022Y,440105
458,2022-01-28,022Y,383918
459,2022-01-29,022Y,339781
460,2022-01-30,022Y,224856
461,2022-01-31,022Y,139553
462,2022-02-01,022Y,96755
463,2022-02-02,022Y,57606
464,2022-02-03,022Y,54941
465,2022-02-04,022Y,61203
466,2022-02-05,022Y,85910
467,2022-02-06,022Y,102552
468,2022-02-07,022Y,138831
469,2022-02-08,022Y,224405
470,2022-02-09,022Y,321370
471,2022-02-10,022Y,423865
472,2022-02-11,022Y,507142
473,2022-02-12,022Y,472210
474,2022-02-13,022Y,395833
475,2022-02-14,022Y,288236
476,2022-02-15,022Y,551520
477,2022-02-16,022Y,490895
478,2022-02-17,022Y,412587
479,2022-02-18,022Y,408037
480,2022-02-19,022Y,406952
481,2022-02-20,022Y,351695
482,2022-02-21,022Y,400288
483,2022-02-22,022Y,408548
484,2022-02-23,022Y,438273
485,2022-02-24,022Y,430152
486,2022-02-25,022Y,250910
487,2022-02-26,022Y,550384
488,2022-02-27,022Y,339377
489,2022-02-28,022Y,394315
490,2022-03-01,022Y,390198
491,2022-03-02,022Y,443090
492,2022-03-03,022Y,414821
493,2022-03-04,022Y,428830
494,2022-03-05,022Y,401426
495,2022-03-06,022Y,363675
496,2022-03-07,022Y,498412
497,2022-03-08,022Y,521116
498,2022-03-09,022Y,494238
499,2022-03-10,022Y,473303
500,2022-03-11,022Y,465671
501,2022-03-12,022Y,184040
502,2022-03-13,022Y,387233
503,2022-03-14,022Y,374495
504,2022-03-15,022Y,311853
505,2022-03-16,022Y,314489
506,2022-03-17,022Y,353124
507,2022-03-18,022Y,377729
508,2022-03-19,022Y,325111
509,2022-03-20,022Y,368641
510,2022-03-21,022Y,354045
511,2022-03-22,022Y,365441
512,2021-11-14,023Y,1033184
513,2021-11-15,023Y,816039
514,2021-11-16,023Y,659942
515,2021-11-17,023Y,646808
516,2021-11-18,023Y,591889
517,2021-11-19,023Y,580075
518,2021-11-20,023Y,535614
519,2021-11-21,023Y,455475
520,2021-11-22,023Y,497688
521,2021-11-23,023Y,515683
522,2021-11-24,023Y,576850
523,2021-11-25,023Y,568255
524,2021-11-26,023Y,570174
525,2021-11-28,023Y,421316
526,2021-11-29,023Y,464201
527,2021-11-30,023Y,495302
528,2021-12-01,023Y,531059
529,2021-12-02,023Y,524552
530,2021-12-03,023Y,533835
531,2021-12-04,023Y,484066
532,2021-12-05,023Y,418697
533,2021-12-06,023Y,466332
534,2021-12-07,023Y,482519
535,2021-12-08,023Y,525898
536,2021-12-09,023Y,554837
537,2021-12-10,023Y,581479
538,2021-12-11,023Y,505050
539,2021-12-12,023Y,430732
540,2021-12-13,023Y,543383
541,2021-12-14,023Y,702369
542,2021-12-15,023Y,745644
543,2021-12-16,023Y,639791
544,2021-12-17,023Y,583361
545,2021-12-18,023Y,503448
546,2021-12-19,023Y,429516
547,2021-12-20,023Y,461144
548,2021-12-21,023Y,482885
549,2021-12-22,023Y,541411
550,2021-12-23,023Y,555494
551,2021-12-24,023Y,559525
552,2021-12-25,023Y,517464
553,2021-12-26,023Y,408320
554,2021-12-27,023Y,438658
555,2021-12-28,023Y,529015
556,2021-12-29,023Y,605561
557,2021-12-30,023Y,621458
558,2021-12-31,023Y,572413
559,2022-01-01,023Y,474294
560,2022-01-02,023Y,393072
561,2022-01-03,023Y,361794
562,2022-01-04,023Y,453901
563,2022-01-05,023Y,541869
564,2022-01-06,023Y,596831
565,2022-01-07,023Y,618627
566,2022-01-08,023Y,548997
567,2022-01-09,023Y,457784
568,2022-01-10,023Y,522305
569,2022-01-11,023Y,560938
570,2022-01-12,023Y,666019
571,2022-01-13,023Y,667232
572,2022-01-14,023Y,665621
573,2022-01-15,023Y,594451
574,2022-01-16,023Y,545982
575,2022-01-17,023Y,583645
576,2022-01-18,023Y,624935
577,2022-01-19,023Y,670890
578,2022-01-20,023Y,667356
579,2022-01-21,023Y,662528
580,2022-01-22,023Y,623307
581,2022-01-23,023Y,528290
582,2022-01-24,023Y,645190
583,2022-01-25,023Y,743383
584,2022-01-26,023Y,761644
585,2022-01-27,023Y,710945
586,2022-01-28,023Y,666680
587,2022-01-29,023Y,593527
588,2022-01-30,023Y,452389
589,2022-01-31,023Y,291992
590,2022-02-01,023Y,155615
591,2022-02-02,023Y,126974
592,2022-02-03,023Y,116813
593,2022-02-04,023Y,138378
594,2022-02-05,023Y,178123
595,2022-02-06,023Y,236660
596,2022-02-07,023Y,313803
597,2022-02-08,023Y,359849
598,2022-02-09,023Y,450051
599,2022-02-10,023Y,551595
600,2022-02-11,023Y,558605
601,2022-02-12,023Y,551546
602,2022-02-13,023Y,504637
603,2022-02-14,023Y,528368
604,2022-02-15,023Y,529176
605,2022-02-16,023Y,529835
606,2022-02-17,023Y,540139
607,2022-02-18,023Y,539047
608,2022-02-19,023Y,508588
609,2022-02-20,023Y,462471
610,2022-02-21,023Y,506198
611,2022-02-22,023Y,503838
612,2022-02-23,023Y,540496
613,2022-02-24,023Y,599633
614,2022-02-25,023Y,553924
615,2022-02-26,023Y,505900
616,2022-02-27,023Y,452098
617,2022-02-28,023Y,505555
618,2022-03-01,023Y,526326
619,2022-03-02,023Y,567231
620,2022-03-03,023Y,568695
621,2022-03-04,023Y,559783
622,2022-03-05,023Y,502059
623,2022-03-06,023Y,508003
624,2022-03-07,023Y,650051
625,2022-03-08,023Y,649236
626,2022-03-09,023Y,642630
627,2022-03-10,023Y,676431
628,2022-03-11,023Y,626766
629,2022-03-12,023Y,532202
630,2022-03-13,023Y,462446
631,2022-03-14,023Y,476028
632,2022-03-15,023Y,482880
633,2022-03-16,023Y,487996
634,2022-03-17,023Y,520912
635,2022-03-18,023Y,506103
636,2022-03-19,023Y,465955
637,2022-03-20,023Y,413956
638,2022-03-21,023Y,450349
639,2022-03-22,023Y,485628
640,2021-11-14,024Y,878461
641,2021-11-15,024Y,967860
642,2021-11-16,024Y,886425
643,2021-11-17,024Y,637033
644,2021-11-18,024Y,443321
645,2021-11-19,024Y,251193
646,2021-11-20,024Y,536170
647,2021-11-21,024Y,677980
648,2021-11-22,024Y,482709
649,2021-11-23,024Y,487416
650,2021-11-24,024Y,522347
651,2021-11-25,024Y,497004
652,2021-11-26,024Y,518516
653,2021-11-28,024Y,440565
654,2021-11-29,024Y,463430
655,2021-11-30,024Y,447272
656,2021-12-01,024Y,480766
657,2021-12-02,024Y,496193
658,2021-12-03,024Y,487259
659,2021-12-04,024Y,497145
660,2021-12-05,024Y,409097
661,2021-12-06,024Y,374137
662,2021-12-07,024Y,524642
663,2021-12-08,024Y,501991
664,2021-12-09,024Y,497166
665,2021-12-10,024Y,467842
666,2021-12-11,024Y,439844
667,2021-12-12,024Y,444330
668,2021-12-13,024Y,567513
669,2021-12-14,024Y,662856
670,2021-12-15,024Y,705855
671,2021-12-16,024Y,606041
672,2021-12-17,024Y,562774
673,2021-12-18,024Y,542254
674,2021-12-19,024Y,441298
675,2021-12-20,024Y,464703
676,2021-12-21,024Y,494811
677,2021-12-22,024Y,501909
678,2021-12-23,024Y,523150
679,2021-12-24,024Y,521106
680,2021-12-25,024Y,518439
681,2021-12-26,024Y,482951
682,2021-12-27,024Y,495419
683,2021-12-28,024Y,521836
684,2021-12-29,024Y,765843
685,2021-12-30,024Y,757030
686,2021-12-31,024Y,766802
687,2022-01-01,024Y,676231
688,2022-01-02,024Y,571054
689,2022-01-03,024Y,559773
690,2022-01-04,024Y,625692
691,2022-01-05,024Y,682790
692,2022-01-06,024Y,814767
693,2022-01-07,024Y,766704
694,2022-01-08,024Y,718719
695,2022-01-09,024Y,579770
696,2022-01-10,024Y,789985
697,2022-01-11,024Y,774764
698,2022-01-12,024Y,868420
699,2022-01-13,024Y,937381
700,2022-01-14,024Y,963395
701,2022-01-15,024Y,847304
702,2022-01-16,024Y,867273
703,2022-01-17,024Y,913593
704,2022-01-18,024Y,911611
705,2022-01-19,024Y,921367
706,2022-01-20,024Y,984173
707,2022-01-21,024Y,944344
708,2022-01-22,024Y,954895
709,2022-01-23,024Y,854145
710,2022-01-24,024Y,1043520
711,2022-01-25,024Y,1048775
712,2022-01-26,024Y,1082041
713,2022-01-27,024Y,1095111
714,2022-01-28,024Y,1022249
715,2022-01-29,024Y,913299
716,2022-01-30,024Y,708753
717,2022-01-31,024Y,406222
718,2022-02-01,024Y,225537
719,2022-02-02,024Y,198091
720,2022-02-03,024Y,152281
721,2022-02-04,024Y,180268
722,2022-02-05,024Y,240463
723,2022-02-06,024Y,305363
724,2022-02-07,024Y,356211
725,2022-02-08,024Y,477226
726,2022-02-09,024Y,546405
727,2022-02-10,024Y,619844
728,2022-02-11,024Y,612879
729,2022-02-12,024Y,667935
730,2022-02-13,024Y,683002
